discipline_name,discipline_url,lab_name,lab_url,pic,experiment_name,experiment_url
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Universal NOR gate and its application in automobile alarm system,https://da-iitb.vlabs.ac.in/exp/automobile-alarm-system/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,XOR gate and its application in staircase light control,https://da-iitb.vlabs.ac.in/exp/staircase-light-control/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Majority circuit using basic logic gates,https://da-iitb.vlabs.ac.in/exp/majority-circuit/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,Cockpit warning light control using basic logic gates,https://da-iitb.vlabs.ac.in/exp/cockpit-warning-light-control/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Applications Lab (New),https://da-iitb.vlabs.ac.in/Introduction.html,IIT Bombay,DIY Build your own combinational logic circuit using generalized simulator,https://da-iitb.vlabs.ac.in/exp/generalized-simulator/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Analysis of Functions of BCD-TO-7-segment Decoder / Driver and Operation of 7-segment LED Display,https://dec-iitkgp.vlabs.ac.in/exp/7-segment-led-display/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Characterization of Digital Logic Families,https://dec-iitkgp.vlabs.ac.in/exp/digital-logic-families/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Analysis and Synthesis of Boolean Expressions using Basic Logic Gates,https://dec-iitkgp.vlabs.ac.in/exp/basic-logic-gates/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Analysis and Synthesis of Logic Functions using Multiplexers,https://dec-iitkgp.vlabs.ac.in/exp/functions-using-multiplexers/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Analysis and Synthesis of Logic Functions using Decoders,https://dec-iitkgp.vlabs.ac.in/exp/functions-using-decoders/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Analysis and Synthesis of Boolean Relations using Digital Comparators,https://dec-iitkgp.vlabs.ac.in/exp/digital-comparators/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Analysis and Synthesis of Arithmetic Expressions using Adders / Subtractors,https://dec-iitkgp.vlabs.ac.in/exp/arithmetic-expressions/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Analysis and Synthesis of Sequential Circuits using Basic Flip-Flops,https://dec-iitkgp.vlabs.ac.in/exp/sequential-circuits/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Analysis and Synthesis of Multi-bit Sequential Circuits using Shift Registers,https://dec-iitkgp.vlabs.ac.in/exp/multi-bit-sequential-circuits/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronic Circuits Lab,https://dec-iitkgp.vlabs.ac.in/,IIT Kharagpur,Design of Arithmetic Logic Unit (ALU),https://dec-iitkgp.vlabs.ac.in/exp/arithmetic-logic-unit/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,"Verification and interpretation of truth table for AND, OR, NOT, NAND, NOR, Ex-OR, Ex-NOR gates",https://de-iitr.vlabs.ac.in/exp/truth-table-gates/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,Construction of half and full adder using XOR and NAND gates and verification of its operation,https://de-iitr.vlabs.ac.in/exp/half-full-adder/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,To Study and Verify Half and Full Subtractor,https://de-iitr.vlabs.ac.in/exp/half-full-subtractor/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,"Realization of logic functions with the help of Universal Gates (NAND, NOR)",https://de-iitr.vlabs.ac.in/exp/realization-of-logic-functions/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,Construction of a NOR gate latch and verification of its operation,https://de-iitr.vlabs.ac.in/exp/nor-gate-latch/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,"Verify the truth table of RS, JK, T and D flip-flops using NAND and NOR gates",https://de-iitr.vlabs.ac.in/exp/truth-tables-flip-flops/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,Design and Verify the 4-Bit Serial In - Parallel Out Shift Registers,https://de-iitr.vlabs.ac.in/exp/4bit-sipo-shift-register/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,Implementation and verification of decoder or de-multiplexer and encoder using logic gates,https://de-iitr.vlabs.ac.in/exp/decoder-demultiplexer-encoder/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,Implementation of 4x1 multiplexer and 1x4 demultiplexer using logic gates,https://de-iitr.vlabs.ac.in/exp/multiplexer-demultiplexer/
